Eng. e Gestão Industrial,Eng. Mecânica,Gestão e Planeamento em Turismo,Finanças,Fisioterapia,Eng. Eletrónica e Telecomunicações,Biotecnologia,Eng. Computadores e Telemática,Eng. Civil,Economia,Gestão,Eng. Física,Eng. Informática,Contabilidade,Eng. Mecânica B,Administração Pública,Eng. Biomédica,Eng. Química,Geologia,Ciências Biomédicas,Eng. de Materiais,Tecnologias de Informação,Eng. Computacional,MTC,Biologia,Matemática,Biologia e Geologia,Psicologia,Música,Design,Línguas e Relações Empresariais
1000,1000,1000,1000,1000,1000,1000,500,1000,1000,1000,1000,1000,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
1000,1120,1000,880,1132,1120,1107,615,1120,893,880,880,868,623,623,500,607,393,500,607,697,623,500,500,377,500,385,393,377,500,377
1115,1192,1042,956,1148,1062,1035,631,1005,851,938,864,792,660,660,543,534,350,474,680,594,492,389,463,449,536,313,504,361,463,341
1168,1198,1032,869,1164,1009,1050,708,1015,845,922,951,777,679,615,541,536,395,392,687,626,478,382,533,484,466,343,504,326,433,341
1167,1218,1012,947,1165,1068,1081,722,956,882,844,920,740,695,652,504,557,471,459,691,644,545,361,526,452,390,425,511,349,410,337
1185,1220,1107,929,1188,973,1097,729,933,979,828,823,738,698,695,546,514,409,440,718,663,569,433,499,385,348,409,573,282,392,265
1162,1224,1111,994,1143,1018,1120,734,868,873,934,819,734,744,700,619,525,536,537,591,617,472,516,416,379,343,439,500,279,368,254
1169,1232,1179,1058,1075,954,1130,750,858,866,926,855,698,753,718,678,545,588,522,532,636,463,464,437,430,323,418,482,252,363,233
1130,1271,1184,1118,1015,936,1148,804,796,928,938,850,686,699,736,691,576,592,553,514,532,510,451,406,399,420,371,385,356,315,229
1132,1272,1115,1187,1042,990,1121,876,795,874,854,934,684,699,693,692,594,592,553,548,532,510,494,406,399,386,371,367,356,315,228
1148,1286,1126,1230,1061,997,1078,868,771,855,843,918,708,699,693,690,594,592,553,548,532,510,494,406,399,386,371,367,356,315,228
1155,1243,1168,1234,1047,1040,1036,868,860,851,836,829,701,699,693,690,594,592,553,548,532,510,494,406,399,386,371,367,356,315,228
1157,1171,1205,1234,1047,1040,999,868,860,851,836,829,701,699,693,690,594,592,553,548,532,510,494,406,399,386,371,367,356,315,228
1269,1171,1213,1122,1047,1040,999,868,860,851,836,829,701,699,693,690,594,592,553,548,532,510,494,406,399,386,371,367,356,315,228
1338,1171,1144,1122,1047,1040,999,868,860,851,836,829,701,699,693,690,594,592,553,548,532,510,494,406,399,386,371,367,356,315,228
